대학,학부(과)·전공,교양,단일전공_전공핵심,단일전공_전공계,복수전공_전공핵심,복수전공_전공계,부전공_전공핵심,부전공_전공계,부전공_주전공,졸업학점
인문대학,국어국문학과,30,24,63,24,39,9,21,57,120
인문대학,일어일문학과,30,18,63,18,39,9,21,57,120
인문대학,영어영문학과,30,18,63,18,39,9,21,57,120
인문대학,유럽언어문화학부 프랑스어문전공,30,18,63,18,39,9,21,57,120
인문대학,유럽언어문화학부 독일언어문화전공,30,18,63,18,39,9,21,57,120
인문대학,철학과,30,24,63,24,39,9,21,57,120
인문대학,역사학과,30,24,66,24,42,9,21,57,120
인문대학,문화인류학과,30,24,63,24,39,9,21,57,120
자연과학대학,수학과,30,18,63,18,39,9,21,57,120
자연과학대학,통계학과,30,18,63,18,39,9,21,57,120
자연과학대학,물리학과,30,20,66,20,39,9,21,57,120
자연과학대학,화학과,30,24,66,24,39,9,21,57,120
자연과학대학,생명과학과,30,20,63,20,39,9,21,57,120
공과대학,건설시스템공학과,30,24,63,24,39,9,21,57,120
공과대학,환경공학과,30,24,63,24,39,9,21,57,120
공과대학,도시공학과,30,24,63,24,39,9,21,57,120
공과대학,건축학부 건축학전공,30,-,103,-,-,-,-,-,160
공과대학,건축학부 건축공학전공,30,20,63,20,39,9,21,57,120
공과대학,건축학부 건축디자인전공,30,21,63,21,39,9,21,57,120
공과대학,기계공학부,30,24,66,24,39,9,21,57,120
공과대학,신소재공학부 신소재공학전공,30,24,63,24,39,9,21,57,120
공과대학,전기공학과,30,24,63,24,39,9,21,57,120
공과대학,화학공학부 첨단화학공학전공,30,24,63,24,39,9,21,57,120
공과대학,화학공학부 융합화학공학전공,30,24,63,24,39,9,21,57,120
공과대학,화학공학부 에너지화공전공,30,24,63,24,39,9,21,57,120
공과대학,파이버시스템공학과,30,24,63,24,39,9,21,57,120
디지털융합대학,전자공학과,30,24,66,24,39,9,21,57,120
디지털융합대학,컴퓨터학부 컴퓨터공학전공,30,24,66,24,39,9,21,57,120
디지털융합대학,컴퓨터학부 정보통신공학전공,30,24,66,24,39,9,21,57,120
디지털융합대학,컴퓨터학부 소프트웨어융합전공,30,24,63,24,39,9,21,57,120
디지털융합대학,미래자동차공학과,30,22,63,22,39,9,21,57,120
디지털융합대학,로봇공학과,30,24,66,24,39,9,21,57,120
디지털융합대학,차세대반도체학과,30,24,66,24,39,9,21,57,120
디지털융합대학,소프트웨어응용학부 AI데이터사이언스전공,30,24,63,24,39,9,21,57,120
디지털융합대학,소프트웨어응용학부 응용소프트웨어전공,30,24,63,24,39,9,21,57,120
디지털융합대학,소프트웨어응용학부 미디어융합전공,30,24,63,24,39,9,21,57,120
디지털융합대학,자동차소프트웨어학과,30,24,63,24,39,9,21,57,120
디지털융합대학,스마트모빌리티학과,30,12,63,-,-,-,-,-,120
사회과학대학,정치외교학과,30,24,63,24,39,9,21,57,120
사회과학대학,행정학과,30,12,66,12,39,9,21,57,120
사회과학대학,심리학과,30,24,63,24,39,9,21,57,120
사회과학대학,사회학과,30,18,63,18,39,9,21,57,120
사회과학대학,미디어커뮤니케이션학과,30,-,63,-,39,-,21,57,120
사회과학대학,경찰행정학과,30,-,63,-,39,-,21,57,120
사회과학대학,군사학과,30,-,63,-,42,-,21,57,120
경영대학,경제금융학부 경제금융전공,30,21,63,21,39,9,21,57,120
경영대학,경영학과,30,24,63,24,42,9,21,57,120
경영대학,무역학부 무역학전공,30,24,66,24,39,9,21,57,120
경영대학,회계세무학과,30,24,63,24,42,9,21,57,120
경영대학,항공운송학과(계약학과),30,-,63,-,-,-,-,-,120
경영대학,산업경영학과,30,24,63,-,-,-,-,-,120
의과대학,의예과,30,-,38,-,-,-,-,-,80
의과대학,의학과,-,-,160,-,-,-,-,-,160
약학대학,약학부 약학전공,30,-,180,-,-,-,-,-,220
약학대학,약학부 제약학전공,30,-,180,-,-,-,-,-,220
생명응용과학대학,식품경제외식학과,30,24,63,24,39,9,21,57,120
생명응용과학대학,원예생명과학과,30,24,63,24,39,9,21,57,120
생명응용과학대학,조경학과,30,24,63,24,39,9,21,57,120
생명응용과학대학,산림자원학과,30,24,63,24,39,9,21,57,120
생명응용과학대학,식품공학과,30,24,63,24,39,9,21,57,120
생명응용과학대학,생명공학과,30,21,63,21,39,9,21,57,120
생명응용과학대학,의생명공학과,30,24,66,24,39,9,21,57,120
생활과학대학,주거환경학과,30,21,63,21,39,9,21,57,120
생활과학대학,식품영양학과,30,24,63,24,39,9,21,57,120
생활과학대학,체육학부 체육학전공,30,22,63,22,39,9,21,57,120
생활과학대학,체육학부 무용학전공,30,24,63,24,39,9,21,57,120
생활과학대학,의류패션학과,30,23,63,23,39,9,21,57,120
생활과학대학,휴먼서비스학과,30,24,63,24,39,9,21,57,120
사범대학,교육학과,30,-,64,-,64,-,-,-,130
사범대학,국어교육과,30,-,62,-,56,-,-,-,130
사범대학,영어교육과,30,-,62,-,56,-,-,-,130
사범대학,한문교육과,30,-,62,-,56,-,-,-,130
사범대학,수학교육과,30,-,62,-,56,-,-,-,130
사범대학,유아교육과,30,-,62,-,56,-,-,-,130
사범대학,특수체육교육과,30,-,65,-,65,-,-,-,130
예술대학,회화과,30,16,63,16,39,9,21,57,120
예술대학,트랜스아트과,30,14,63,14,39,9,21,57,120
예술대학,시각디자인학과,30,16,63,16,39,9,21,57,120
예술대학,산업디자인학과,30,24,63,24,39,9,21,57,120
예술대학,생활제품디자인학과,30,17,63,17,39,9,21,57,120
예술대학,음악학부 국악및작곡전공,30,18,63,18,39,9,21,57,120
예술대학,음악학부 성악전공,30,20,63,20,39,9,21,57,120
예술대학,음악학부 피아노전공,30,24,63,24,39,9,21,57,120
예술대학,음악학부 관현악전공,30,22,63,22,39,9,21,57,120
글로벌인재대학,중국언어문화학과,30,24,63,24,39,9,21,57,120
글로벌인재대학,국제개발새마을학과,30,24,63,24,39,9,21,57,120
글로벌인재대학,글로벌교육학부 국제한국어교육전공,30,-,63,-,47,-,26,57,120
글로벌인재대학,글로벌비즈니스학과,30,24,63,24,39,9,21,57,120
글로벌인재대학,글로벌통번역학부 영어통번역전공,30,18,63,18,39,9,21,57,120
글로벌인재대학,글로벌통번역학부 응용중국어통번역전공,30,18,63,18,39,9,21,57,120
글로벌인재대학,글로벌학부 [외국인유학생] 새마을국제개발학전공,-,24,63,-,-,-,-,-,120
글로벌인재대학,글로벌학부 [외국인유학생] 한국어통번역전공(관광무역),-,11,63,-,-,-,-,-,120
글로벌인재대학,글로벌학부 [외국인유학생] 컴퓨터공학전공,-,24,66,-,-,-,-,-,120